,RegionName,RegionID,SizeRank,Date,value
431,"Portland, OR",394998,23,2014-05,1173
432,"Charlotte, NC",394458,24,2014-05,1075
433,"Sacramento, CA",395045,25,2014-05,1289
434,"San Antonio, TX",395055,26,2014-05,968
435,"Orlando, FL",394943,27,2014-05,1179
436,"Cincinnati, OH",394466,28,2014-05,945
437,"Cleveland, OH",394475,29,2014-05,934
438,"Kansas City, MO",394735,30,2014-05,897
439,"Las Vegas, NV",394775,31,2014-05,1014
440,"Columbus, OH",394492,32,2014-05,938
441,"Indianapolis, IN",394705,33,2014-05,962
442,"San Jose, CA",395059,34,2014-05,2303
443,"Austin, TX",394355,35,2014-05,1200
444,"Virginia Beach, VA",395194,36,2014-05,1157
445,"Nashville, TN",394902,37,2014-05,1155
446,"Providence, RI",395005,38,2014-05,1169
447,"Milwaukee, WI",394862,39,2014-05,955
448,"Jacksonville, FL",394714,40,2014-05,1079
449,"Memphis, TN",394849,41,2014-05,1004
450,"Oklahoma City, OK",394935,42,2014-05,974
451,"Louisville-Jefferson County, KY",394807,43,2014-05,858
452,"Hartford, CT",394669,44,2014-05,1238
453,"Richmond, VA",395022,45,2014-05,1071
454,"New Orleans, LA",394910,46,2014-05,1085
455,"Buffalo, NY",394425,47,2014-05,802
456,"Raleigh, NC",395012,48,2014-05,1139
457,"Birmingham, AL",394388,49,2014-05,977
458,"Salt Lake City, UT",395053,50,2014-05,1035
459,"Rochester, NY",395031,51,2014-05,936
460,"Grand Rapids, MI",394640,52,2014-05,869
461,"Tucson, AZ",395167,53,2014-05,934
462,"Urban Honolulu, HI",753924,54,2014-05,2031
463,"Tulsa, OK",395169,55,2014-05,909
464,"Fresno, CA",394619,56,2014-05,1159
465,"Worcester, MA",395238,57,2014-05,1107
466,"Stamford, CT",394415,58,2014-05,1891
467,"Albuquerque, NM",394312,59,2014-05,930
468,"Albany, NY",394308,60,2014-05,1054
469,"Omaha, NE",394938,61,2014-05,839
470,"New Haven, CT",394908,62,2014-05,1294
471,"Bakersfield, CA",394357,63,2014-05,1015
472,"Knoxville, TN",394753,64,2014-05,938
473,"Greenville, SC",394653,65,2014-05,964
474,"Ventura, CA",394952,66,2014-05,1936
475,"Allentown, PA",394318,67,2014-05,1181
476,"El Paso, TX",394561,68,2014-05,980
477,"Baton Rouge, LA",394367,69,2014-05,1075
478,"Dayton, OH",394521,70,2014-05,814
479,"McAllen, TX",394843,71,2014-05,797
480,"Columbia, SC",394486,72,2014-05,957
481,"Greensboro, NC",394648,73,2014-05,956
482,"Akron, OH",394304,74,2014-05,794
