Date,Unnamed: 0,RegionName,RegionID,SizeRank,value
2014/05/01,415,"Washington, DC",395209,7,1783.0
2014/05/01,416,"Miami-Fort Lauderdale, FL",394856,8,1593.0
2014/05/01,417,"Atlanta, GA",394347,9,1093.0
2014/05/01,418,"Boston, MA",394404,10,2177.0
2014/05/01,419,"San Francisco, CA",395057,11,2287.0
2014/05/01,420,"Detroit, MI",394532,12,974.0
2014/05/01,421,"Riverside, CA",395025,13,1445.0
2014/05/01,422,"Phoenix, AZ",394976,14,973.0
2014/05/01,423,"Seattle, WA",395078,15,1402.0
2014/05/01,424,"Minneapolis-St Paul, MN",394865,16,1193.0
2014/05/01,425,"San Diego, CA",395056,17,1740.0
2014/05/01,426,"St. Louis, MO",395121,18,918.0
2014/05/01,427,"Tampa, FL",395148,19,1122.0
2014/05/01,428,"Baltimore, MD",394358,20,1449.0
2014/05/01,429,"Denver, CO",394530,21,1249.0
2014/05/01,430,"Pittsburgh, PA",394982,22,1024.0
2014/05/01,431,"Portland, OR",394998,23,1173.0
2014/05/01,432,"Charlotte, NC",394458,24,1075.0
2014/05/01,433,"Sacramento, CA",395045,25,1289.0
2014/05/01,434,"San Antonio, TX",395055,26,968.0
2014/05/01,435,"Orlando, FL",394943,27,1179.0
2014/05/01,436,"Cincinnati, OH",394466,28,945.0
2014/05/01,437,"Cleveland, OH",394475,29,934.0
2014/05/01,438,"Kansas City, MO",394735,30,897.0
2014/05/01,439,"Las Vegas, NV",394775,31,1014.0
2014/05/01,440,"Columbus, OH",394492,32,938.0
2014/05/01,441,"Indianapolis, IN",394705,33,962.0
2014/05/01,442,"San Jose, CA",395059,34,2303.0
2014/05/01,443,"Austin, TX",394355,35,1200.0
2014/05/01,444,"Virginia Beach, VA",395194,36,1157.0
2014/05/01,445,"Nashville, TN",394902,37,1155.0
2014/05/01,446,"Providence, RI",395005,38,1169.0
2014/05/01,447,"Milwaukee, WI",394862,39,955.0
2014/05/01,448,"Jacksonville, FL",394714,40,1079.0
2014/05/01,449,"Memphis, TN",394849,41,1004.0
2014/05/01,450,"Oklahoma City, OK",394935,42,974.0
2014/05/01,451,"Louisville-Jefferson County, KY",394807,43,858.0
2014/05/01,452,"Hartford, CT",394669,44,1238.0
2014/05/01,453,"Richmond, VA",395022,45,1071.0
2014/05/01,454,"New Orleans, LA",394910,46,1085.0
2014/05/01,455,"Buffalo, NY",394425,47,802.0
2014/05/01,456,"Raleigh, NC",395012,48,1139.0
2014/05/01,457,"Birmingham, AL",394388,49,977.0
2014/05/01,458,"Salt Lake City, UT",395053,50,1035.0
2014/05/01,459,"Rochester, NY",395031,51,936.0
2014/05/01,460,"Grand Rapids, MI",394640,52,869.0
2014/05/01,461,"Tucson, AZ",395167,53,934.0
2014/05/01,462,"Urban Honolulu, HI",753924,54,2031.0
2014/05/01,463,"Tulsa, OK",395169,55,909.0
2014/05/01,464,"Fresno, CA",394619,56,1159.0
2014/05/01,465,"Worcester, MA",395238,57,1107.0
2014/05/01,466,"Stamford, CT",394415,58,1891.0
2014/05/01,467,"Albuquerque, NM",394312,59,930.0
2014/05/01,468,"Albany, NY",394308,60,1054.0
2014/05/01,469,"Omaha, NE",394938,61,839.0
2014/05/01,470,"New Haven, CT",394908,62,1294.0
2014/05/01,471,"Bakersfield, CA",394357,63,1015.0
2014/05/01,472,"Knoxville, TN",394753,64,938.0
2014/05/01,473,"Greenville, SC",394653,65,964.0
2014/05/01,474,"Ventura, CA",394952,66,1936.0
2014/05/01,475,"Allentown, PA",394318,67,1181.0
2014/05/01,476,"El Paso, TX",394561,68,980.0
2014/05/01,477,"Baton Rouge, LA",394367,69,1075.0
2014/05/01,478,"Dayton, OH",394521,70,814.0
2014/05/01,479,"McAllen, TX",394843,71,797.0
2014/05/01,480,"Columbia, SC",394486,72,957.0
2014/05/01,481,"Greensboro, NC",394648,73,956.0
2014/05/01,482,"Akron, OH",394304,74,794.0
2014/05/01,483,"North Port-Sarasota-Bradenton, FL",753906,75,1245.0
